pickup_datetime,dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,payment_type,pickup_location_id,dropoff_location_id
2015-01-15 19:05:39,2015-01-15 19:23:42,1,1.59,12.0,3.25,17.05,Credit card,,
2015-01-10 20:33:38,2015-01-10 20:53:28,1,3.3,14.5,2.0,17.8,Credit card,,
2015-01-10 20:33:38,2015-01-10 20:43:41,1,1.8,9.5,0.0,10.8,Cash,,
2015-01-10 20:33:39,2015-01-10 20:35:31,1,0.5,3.5,0.0,4.8,Cash,,
2015-01-10 20:33:39,2015-01-10 20:52:58,1,3.0,15.0,0.0,16.3,Cash,,
2015-01-10 20:33:39,2015-01-10 20:53:52,1,9.0,27.0,6.7,40.33,Credit card,,
2015-01-10 20:33:39,2015-01-10 20:58:31,1,2.2,14.0,0.0,15.3,Cash,,
2015-01-10 20:33:39,2015-01-10 20:42:20,3,0.8,7.0,1.66,9.96,Credit card,,
2015-01-10 20:33:39,2015-01-10 21:11:35,3,18.2,52.0,0.0,58.13,Cash,,
2015-01-10 20:33:40,2015-01-10 20:40:44,2,0.9,6.5,1.55,9.35,Credit card,,
2015-01-10 20:33:40,2015-01-10 20:41:39,1,0.9,7.0,1.66,9.96,Credit card,,
2015-01-10 20:33:41,2015-01-10 20:43:26,1,1.1,7.5,1.0,9.8,Credit card,,
2015-01-10 20:33:41,2015-01-10 20:35:23,1,0.3,3.0,0.0,4.3,Cash,,
2015-01-10 20:33:41,2015-01-10 21:03:04,1,3.1,19.0,3.0,23.3,Credit card,,
2015-01-10 20:33:41,2015-01-10 20:39:23,1,1.1,6.0,0.0,7.3,Cash,,
2015-01-15 19:05:39,2015-01-15 19:32:00,1,2.38,16.5,4.38,22.68,Credit card,,
2015-01-15 19:05:40,2015-01-15 19:21:00,5,2.83,12.5,0.0,14.3,Cash,,
2015-01-15 19:05:40,2015-01-15 19:28:18,5,8.33,26.0,8.08,41.21,Credit card,,
2015-01-15 19:05:41,2015-01-15 19:20:36,1,2.37,11.5,0.0,13.3,Credit card,,
2015-01-15 19:05:41,2015-01-15 19:20:22,2,7.13,21.5,4.5,27.8,Credit card,,
2015-01-15 19:05:41,2015-01-15 19:31:00,1,3.6,17.5,0.0,19.3,Cash,,
2015-01-15 19:05:41,2015-01-15 19:10:22,1,0.89,5.5,1.62,8.92,Credit card,,
2015-01-15 19:05:41,2015-01-15 19:10:55,1,0.96,5.5,1.3,8.6,Credit card,,
2015-01-15 19:05:41,2015-01-15 19:12:36,2,1.25,6.5,1.5,9.8,Credit card,,
2015-01-15 19:05:41,2015-01-15 19:22:11,5,2.11,11.5,2.5,15.8,Credit card,,
2015-01-15 19:05:41,2015-01-15 19:14:05,5,1.15,7.5,1.7,11.0,Credit card,,
2015-01-15 19:05:42,2015-01-15 19:16:18,1,1.53,9.0,0.0,10.8,Cash,,
2015-01-15 19:05:42,2015-01-15 19:49:07,1,18.06,52.0,6.0,64.13,Credit card,,
2015-01-15 19:05:42,2015-01-15 19:18:33,1,1.76,10.0,2.36,14.16,Credit card,,
2015-01-15 19:05:42,2015-01-15 19:21:40,6,5.19,17.5,3.7,23.0,Credit card,,
2015-01-15 19:05:42,2015-01-15 19:14:23,1,1.38,7.5,1.7,11.0,Credit card,,
2015-01-15 19:05:43,2015-01-15 19:05:44,2,0.01,60.0,0.0,60.3,Credit card,,
2015-01-15 19:05:43,2015-01-15 19:17:43,2,2.23,10.0,2.2,14.0,Credit card,,
2015-01-15 19:05:43,2015-01-15 19:15:17,1,1.56,8.0,1.8,11.6,Credit card,,
2015-01-15 19:05:43,2015-01-15 19:15:09,5,1.57,8.0,1.8,11.6,Credit card,,
2015-01-15 19:05:44,2015-01-15 19:17:44,1,2.92,12.5,2.7,17.0,Credit card,,
2015-01-10 19:12:21,2015-01-10 19:31:33,1,2.9,13.5,0.0,14.3,Cash,,
2015-01-10 19:12:21,2015-01-10 19:46:08,1,16.4,52.0,10.0,62.8,Credit card,,
2015-01-25 00:13:04,2015-01-25 00:13:18,1,0.02,2.5,0.0,3.8,Cash,,
2015-01-25 00:13:05,2015-01-25 00:29:11,1,1.73,11.0,0.0,12.3,Cash,,
2015-01-25 00:13:05,2015-01-25 00:25:43,1,2.25,10.5,2.36,14.16,Credit card,,
2015-01-25 00:13:05,2015-01-25 00:25:50,1,3.53,12.5,0.0,13.8,Cash,,
2015-01-25 00:13:06,2015-01-25 00:23:26,1,2.01,9.5,2.16,12.96,Credit card,,
2015-01-25 00:13:06,2015-01-25 00:24:51,1,3.37,12.5,0.0,13.8,Credit card,,
2015-01-25 00:13:06,2015-01-25 00:22:20,1,1.35,8.0,0.7,10.0,Credit card,,
2015-01-25 00:13:06,2015-01-25 00:18:30,1,1.18,6.0,1.8,9.1,Credit card,,
2015-01-25 00:13:06,2015-01-25 00:21:15,5,2.05,8.5,1.96,11.76,Credit card,,
2015-01-25 00:13:06,2015-01-25 00:34:32,1,3.05,16.5,5.34,23.14,Credit card,,
2015-01-25 00:13:07,2015-01-25 00:27:08,4,3.06,12.5,2.76,16.56,Credit card,,
2015-01-25 00:13:07,2015-01-25 00:15:39,1,0.49,4.0,0.0,5.3,Cash,,
2015-01-25 00:13:07,2015-01-25 00:24:59,1,2.6,11.0,1.5,13.8,Credit card,,
2015-01-25 00:13:07,2015-01-25 00:41:19,1,6.17,24.0,2.7,28.0,Credit card,,
2015-01-25 00:13:08,2015-01-25 00:34:57,1,3.72,16.5,3.56,21.36,Credit card,,
2015-01-25 00:13:08,2015-01-25 00:18:57,1,1.1,6.0,0.0,7.3,Cash,,
2015-01-25 00:13:09,2015-01-25 00:21:38,2,2.63,10.5,2.36,14.16,Credit card,,
2015-01-25 00:13:09,2015-01-25 00:22:51,2,2.22,9.5,2.7,13.5,Credit card,,
2015-01-25 00:13:09,2015-01-25 00:20:30,1,1.79,8.0,2.79,12.09,Credit card,,
